ch1.canDo.0.ja	イベントなどに関する記事を読んで、その特色や様子が理解できる。
ch2.parts.0.check.0.items.2.q	{山田|やまだ}さんの料理はまずいわけではないが、味が濃すぎる＿＿。
ch2.parts.0.check.0.items.3.answer	といえども
ch2.parts.0.check.0.items.3.q	チャンピオン＿＿、油断すれば負けてしまうほど、勝負は{厳|きび}しいものだ。
ch2.parts.0.check.0.items.4.answer	{次第|しだい}です
ch2.parts.0.check.0.items.4.q	{原油|げんゆ}が値上がりしたために、値上げせざるを得なくなった＿＿。
ch2.parts.0.check.0.prompt.ja	
ch2.parts.0.check.0.type	fill
ch2.parts.0.check.1.bank.0	に{至|いた}っては
ch2.parts.0.check.1.bank.1	を{余儀|よぎ}なくされた
ch2.parts.0.check.1.bank.2	をもって
ch2.parts.0.check.1.bank.3	あっての
ch2.parts.0.check.1.items.0.answer	あっての
ch2.parts.0.check.1.items.0.q	結婚だマイホームだといっても、安定した収入＿＿ことだ。
ch2.parts.0.check.1.items.1.answer	を{余儀|よぎ}なくされた
ch2.parts.0.check.1.items.1.q	試合中の目のけががもとで引退＿＿ボクサーは、本当に{気|き}の{毒|どく}だ。
ch2.parts.0.check.1.items.2.answer	をもって
ch2.parts.0.check.1.items.2.q	ご{迷惑|めいわく}をおかけしたお客様には、心からの{謝罪|しゃざい}＿＿許していただかなければなりません。
ch2.parts.0.check.1.items.3.answer	に{至|いた}っては
ch2.parts.0.check.1.items.3.q	このドラマは初回の{視聴率|しちょうりつ}が31.5%で、{瞬間|しゅんかん}最大{視聴率|しちょうりつ}＿＿40%近い数字を出したそうだ。
ch2.parts.0.check.1.prompt.ja	
ch2.parts.0.check.1.type	fill
ch2.parts.0.label	
ch2.parts.0.points.0.examples.0.ja	今年の国民生活時間調査によると、新聞を読んでいる40代の男性は41%、30代は23%、20代に{至|いた}っては13%だった。
ch2.parts.0.points.0.examples.1.ja	調査によると、昨年度の{新卒者|しんそつしゃ}の{就職率|しゅうしょくりつ}は、大学卒業者が約55%、高校卒業者に{至|いた}っては17%以下と過去最低の状況となったとのことだ。
ch2.parts.0.points.0.examples.2.ja	彼は{侍|さむらい}の家に生まれたが、読書好きで、{剣|けん}もちょっと習った程度で、{弓|ゆみ}や{槍|やり}に{至|いた}っては触ったことさえないという男だった。
ch2.parts.0.points.0.forms.0	[N] + に{至|いた}っては
ch2.parts.0.points.0.marks.0	formal
ch2.parts.0.points.0.no	7
ch2.parts.0.points.0.pattern	〜に{至|いた}っては
ch2.parts.0.points.0.phrase	さいわい市**に{至|いた}っては**
ch2.parts.0.points.0.practice.0.answer.0	2
ch2.parts.0.points.0.practice.0.answer.1	0
ch2.parts.0.points.0.practice.0.answer.2	3
ch2.parts.0.points.0.practice.0.answer.3	1
ch2.parts.0.points.0.practice.0.left.0	この国では都市部の{年収|ねんしゅう}を100とすると{農村部|のうそんぶ}では60、
ch2.parts.0.points.0.practice.0.left.1	{石田屋|いしだや}のお{菓子|かし}はどれも人気があるが、
ch2.parts.0.points.0.practice.0.left.2	このあたりは年間を通じて湿度が低く、
ch2.parts.0.points.0.practice.0.left.3	うちの家族はみな物が捨てられない性格で、
ch2.parts.0.points.0.practice.0.prompt.ja	
ch2.parts.0.points.0.practice.0.right.0	限定100個のどら焼きに{至|いた}っては{連日|れんじつ}開店前に行列ができるほどだ。
ch2.parts.0.points.0.practice.0.right.1	母に{至|いた}っては何十年も前の{包装紙|ほうそうし}や{空|あ}き{缶|かん}まで大事にしまってある。
ch2.parts.0.points.0.practice.0.right.2	{山間部|さんかんぶ}に{至|いた}ってはわずか35だそうだ。
ch2.parts.0.points.0.practice.0.right.3	12月に{至|いた}っては20%以下の日が1週間以上続くことも少なくない。
ch2.parts.0.points.0.practice.0.type	match
ch2.parts.0.points.0.stars	2
ch2.parts.0.points.0.usage.ja	まず比較する例を{挙|あ}げて、「〜に{至|いた}っては」の形で「〜の場合はさらに」と言うときに使われる。
ch2.parts.0.points.1.examples.0.ja	{零細企業|れいさいきぎょう}といえども、{我|わ}が{社|しゃ}は{大企業|だいきぎょう}に負けない技術を持っていると{自負|じふ}している。
ch2.parts.0.points.1.examples.1.ja	{保護|ほご}のためといえども、{野生|やせい}動物に{発信機|はっしんき}を取り付けるべきではないという意見もある。
ch2.parts.0.points.1.examples.2.ja	{裁判官|さいばんかん}といえども感情を{抑|おさ}えきれないこともあるはずだ。
ch2.parts.0.points.1.examples.3.ja	世界広しといえど、『{源氏|げんじ}物語』のような{壮大|そうだい}な{恋愛|れんあい}小説は他にないだろう。
ch2.parts.0.points.1.formNotes.0.ja	＊「〜といえど」も同じ意味で使われる。
ch2.parts.0.points.1.formNotes.1.ja	＊「世界広し・{老|お}いたり・少なり」など古い表現と一緒に使われることもある。
ch2.parts.0.points.1.forms.0	[N] + といえども
ch2.parts.0.points.1.marks.0	formal
ch2.parts.0.points.1.no	8
ch2.parts.0.points.1.pattern	〜といえども
ch2.parts.0.points.1.phrase	{中小企業|ちゅうしょうきぎょう}**といえども**
ch2.parts.0.points.1.practice.0.items.0.answer	0
ch2.parts.0.points.1.practice.0.items.0.options.0	作品のすべてが{傑作|けっさく}というわけではない
ch2.parts.0.points.1.practice.0.items.0.options.1	{誰|だれ}からも認められ、尊敬されている
ch2.parts.0.points.1.practice.0.items.0.q	名人といえども、（　）。
ch2.parts.0.points.1.practice.0.items.1.answer	1
ch2.parts.0.points.1.practice.0.items.1.options.0	抱き上げたくなる
ch2.parts.0.points.1.practice.0.items.1.options.1	不用意に近づくと危険だ
ch2.parts.0.points.1.practice.0.items.1.q	いかにかわいい{子熊|こぐま}といえども、（　）。
ch2.parts.0.points.1.practice.0.items.2.answer	0
ch2.parts.0.points.1.practice.0.items.2.options.0	持たなければならない
ch2.parts.0.points.1.practice.0.items.2.options.1	持つ義務はない
ch2.parts.0.points.1.practice.0.items.2.q	アルバイトといえども、仕事に責任を（　）。
ch2.parts.0.points.1.practice.0.items.3.answer	0
ch2.parts.0.points.1.practice.0.items.3.options.0	特別{扱|あつか}いはしない
ch2.parts.0.points.1.practice.0.items.3.options.1	特別に指導する
ch2.parts.0.points.1.practice.0.items.3.q	野球チームの練習中は、{我|わ}が{子|こ}といえども（　）つもりだ。
ch2.parts.0.points.1.practice.0.prompt.ja	
ch2.parts.0.points.1.practice.0.type	choice
ch2.parts.0.points.1.stars	3
ch2.parts.0.points.1.usage.ja	「〜といえども」は「〜でも」という意味で、「社長といえども1人で何でも決められるわけではない」のように、「事実や条件（社長）から当然予想される結果（何でも決められる）とは違う」と言いたいときに使われる。
ch2.parts.0.points.2.examples.0.ja	景気{悪化|あっか}に{伴|ともな}い、工場は{閉鎖|へいさ}を{余儀|よぎ}なくされた。
ch2.parts.0.points.2.examples.1.ja	{山中村|やまなかむら}の住民は先月の{洪水|こうずい}により{未|いま}だに{避難所|ひなんじょ}での生活を{余儀|よぎ}なくされている。
ch2.parts.0.points.2.examples.2.ja	このまま利用者が減れば、この鉄道は{廃線|はいせん}を{余儀|よぎ}なくされるだろう。
ch2.parts.0.points.2.forms.0	[N] + を{余儀|よぎ}なくされる
ch2.parts.0.points.2.marks.0	formal
ch2.parts.0.points.2.no	9
ch2.parts.0.points.2.notes.0.examples.0.ja	地球温暖化による{海面上昇|かいめんじょうしょう}がこの地域の人々に{移住|いじゅう}を{余儀|よぎ}なくさせたのである。
ch2.parts.0.points.2.notes.0.examples.1.ja	急速な情報技術の発達は{企業|きぎょう}に{組織|そしき}の{再編成|さいへんせい}を{余儀|よぎ}なくさせた。
ch2.parts.0.points.2.notes.0.examples.2.ja	コスト{削減|さくげん}という{企業|きぎょう}のニーズが工場の海外移転を{余儀|よぎ}なくさせたと言えるだろう。
ch2.parts.0.points.2.notes.0.ja	「〜を{余議|よぎ}なくさせる」は「何かが、{嫌|いや}でも〜しなければならない{状態|じょうたい}に追い込む」と言いたいときに使われる。
ch2.parts.0.points.2.notes.0.stars	3
ch2.parts.0.points.2.notesFirst	false
ch2.parts.0.points.2.pattern	〜を{余儀|よぎ}なくされる
ch2.parts.0.points.2.phrase	{休職|きゅうしょく}**を{余儀|よぎ}なくされる**
ch2.parts.0.points.2.practice.0.items.0.answer	0
ch2.parts.0.points.2.practice.0.items.0.options.0	変更
ch2.parts.0.points.2.practice.0.items.0.options.1	{続行|ぞっこう}
ch2.parts.0.points.2.practice.0.items.0.q	{前日|ぜんじつ}からの雨のため、{登山隊|とざんたい}は計画の（　）を{余儀|よぎ}なくされている。
ch2.parts.0.points.2.practice.0.items.1.answer	0
ch2.parts.0.points.2.practice.0.items.1.options.0	休業
ch2.parts.0.points.2.practice.0.items.1.options.1	開発
ch2.parts.0.points.2.practice.0.items.1.q	私の店は、周辺の再開発のため、1年も（　）を{余儀|よぎ}なくされた。
ch2.parts.0.points.2.practice.0.items.2.answer	1
ch2.parts.0.points.2.practice.0.items.2.options.0	開始
ch2.parts.0.points.2.practice.0.items.2.options.1	中止
ch2.parts.0.points.2.practice.0.items.2.q	{相次|あいつ}ぐ事故の{報告|ほうこく}により、製品の販売（　）を{余儀|よぎ}なくされた。
ch2.parts.0.points.2.practice.0.items.3.answer	0
ch2.parts.0.points.2.practice.0.items.3.options.0	{辞任|じにん}
ch2.parts.0.points.2.practice.0.items.3.options.1	責任
ch2.parts.0.points.2.practice.0.items.3.q	大臣は不適切な{発言|はつげん}がもとで（　）を{余儀|よぎ}なくされた。
ch2.parts.0.points.2.practice.0.prompt.ja	
ch2.parts.0.points.2.practice.0.type	choice
ch2.parts.0.points.2.stars	3
ch2.parts.0.points.2.usage.ja	「〜を{余儀|よぎ}なくされる」は「{嫌|いや}でも〜しなければならない状況だ」と言いたいときに使われる。ニュースなどでよく使われる。
ch2.parts.0.points.3.examples.0.ja	国を{離|はな}れて10年{経|た}つが、1日たりとも{故郷|こきょう}を忘れたことはない。
ch2.parts.0.points.3.examples.1.ja	私たちの税金は1円たりとも{無駄|むだ}に使ってほしくない。
ch2.parts.0.points.3.examples.2.ja	決勝戦は、{一瞬|いっしゅん}たりとも目が{離|はな}せない歴史に残る試合となった。
ch2.parts.0.points.3.examples.3.ja	「私はお前たちに1度たりとも{嘘|うそ}をついたことはない」と父は言った。
ch2.parts.0.points.3.formNotes.0.ja	＊「1秒・1円・{一瞬|いっしゅん}」などの最小の単位を表す言葉と一緒に使われる。
ch2.parts.0.points.3.forms.0	1 + {助数詞|じょすうし} + たりとも + …ない
ch2.parts.0.points.3.marks.0	formal
ch2.parts.0.points.3.no	10
ch2.parts.0.points.3.pattern	〜たりとも
ch2.parts.0.points.3.phrase	{一刻|いっこく}**たりとも**
ch2.parts.0.points.3.practice.0.items.0.answer	1
ch2.parts.0.points.3.practice.0.items.0.options.0	1頭だけ{柵|さく}の中に入れた。
ch2.parts.0.points.3.practice.0.items.0.options.1	全部{柵|さく}の中に入れた。
ch2.parts.0.points.3.practice.0.items.0.q	{牧場|ぼくじょう}の犬は、{羊|ひつじ}の群れを{柵|さく}の中に追い込み、1頭たりとも逃がさなかった。
ch2.parts.0.points.3.practice.0.items.1.answer	1
ch2.parts.0.points.3.practice.0.items.1.options.0	1日中愛していると言う。
ch2.parts.0.points.3.practice.0.items.1.options.1	毎日愛していると言う。
ch2.parts.0.points.3.practice.0.items.1.q	彼が私に「愛している」と言わない日は1日たりともなかった。
ch2.parts.0.points.3.practice.0.items.2.answer	0
ch2.parts.0.points.3.practice.0.items.2.options.0	全部食べないといけないからご飯は残さない。
ch2.parts.0.points.3.practice.0.items.2.options.1	全部食べるといけないからご飯は残しておく。
ch2.parts.0.points.3.practice.0.items.2.q	「ご飯は{一粒|ひとつぶ}たりとも残すな」と父に言われて育った。
ch2.parts.0.points.3.practice.0.prompt.ja	
ch2.parts.0.points.3.practice.0.type	choice
ch2.parts.0.points.3.stars	2
ch2.parts.0.points.3.usage.ja	「〜たりとも…」は「1人たりとも逃すな」のように「その少ない単位（1人）でも絶対…ない（逃がさない）」と言いたいときに使われる。
ch2.parts.0.points.4.examples.0.ja	私たちは{国籍|こくせき}だけでその人の性格を判断してしまうきらいがある。
ch2.parts.0.points.4.examples.1.ja	{先輩|せんぱい}は親切でいい人だが、お{節介|せっかい}を焼きたがるきらいがある。
ch2.parts.0.points.4.examples.2.ja	{叔母|おば}は、周りの人の気持ちを考えないきらいがあり、思ったことを何でも口にする。
ch2.parts.0.points.4.examples.3.ja	{大型|おおがた}電気店の値下げ競争は、消費者にとってはありがたいが、最近は少々行きすぎのきらいがある。
ch2.parts.0.points.4.formNotes.0.ja	＊「〜すぎのきらいがある」の形も使われる。
ch2.parts.0.points.4.forms.0	[V-る]／[V-ない] + きらいがある
ch2.parts.0.points.4.marks.0	regret
ch2.parts.0.points.4.marks.1	formal
ch2.parts.0.points.4.no	11
ch2.parts.0.points.4.pattern	〜きらいがある
ch2.parts.0.points.4.phrase	おろそかになる**きらいがあります**
ch2.parts.0.points.4.practice.0.items.0.answer	1
ch2.parts.0.points.4.practice.0.items.0.options.0	努力さえすれば
ch2.parts.0.points.4.practice.0.items.0.options.1	結果さえよければ
ch2.parts.0.points.4.practice.0.items.0.q	社長は（　）満足し、過程を{軽|かろ}んじるきらいがある。
ch2.parts.0.points.4.practice.0.items.1.answer	1
ch2.parts.0.points.4.practice.0.items.1.options.0	{詳|くわ}しい
ch2.parts.0.points.4.practice.0.items.1.options.1	甘くなる
ch2.parts.0.points.4.practice.0.items.1.q	事故の際、内部調査だけでは（　）きらいがあるので、外部の人による調査が必要だ。
